"","State","Year","Deaths","Population","Deaths Per 100,000","Prescriptions Per Million","Number of Prescriptions"
"1","Alabama",1999,"39",4430141,"0.9",116,1.16e+08
"2","Alabama",2000,"46",4447100,"1",126,1.26e+08
"3","Alabama",2001,"67",4467634,"1.5",138,1.38e+08
"4","Alabama",2002,"75",4480089,"1.7",142,1.42e+08
"5","Alabama",2003,"54",4503491,"1.2",149,1.49e+08
"6","Alabama",2004,"92",4530729,"2",155,1.55e+08
"7","Alabama",2005,"83",4569805,"1.8",163,1.63e+08
"8","Alabama",2006,"134",4628981,"2.9",174,1.74e+08
"9","Alabama",2007,"172",4672840,"3.7",184,1.84e+08
"10","Alabama",2008,"195",4718206,"4.1",196,1.96e+08
"11","Alabama",2009,"210",4757938,"4.4",202,2.02e+08
"12","Alabama",2010,"194",4779736,"4.1",210,2.1e+08
"13","Alabama",2011,"180",4802740,"3.7",219,2.19e+08
"14","Alabama",2012,"175",4822023,"3.6",217,2.17e+08
"15","Alabama",2013,"175",4833722,"3.6",207,2.07e+08
"16","Alabama",2014,"282",4849377,"5.8",196,1.96e+08
"17","Alaska",1999,"28",624779,"4.5",116,1.16e+08
"18","Alaska",2000,"27",626932,"4.3",126,1.26e+08
"19","Alaska",2006,"29",675302,"4.3",174,1.74e+08
"20","Alaska",2008,"94",687455,"13.7",196,1.96e+08
"21","Alaska",2009,"94",698895,"13.4",202,2.02e+08
"22","Alaska",2010,"71",710231,"10",210,2.1e+08
"23","Alaska",2011,"72",722718,"10",219,2.19e+08
"24","Alaska",2012,"81",731449,"11.1",217,2.17e+08
"25","Alaska",2013,"69",735132,"9.4",207,2.07e+08
"26","Alaska",2014,"79",736732,"10.7",196,1.96e+08
"27","Arizona",1999,"250",5023823,"5",116,1.16e+08
"28","Arizona",2000,"249",5130632,"4.9",126,1.26e+08
"29","Arizona",2001,"275",5273477,"5.2",138,1.38e+08
"30","Arizona",2002,"340",5396255,"6.3",142,1.42e+08
"31","Arizona",2003,"350",5510364,"6.4",149,1.49e+08
